Rk	Team	Date▼	ORtg	Unnamed: 4	Opp	Result	ORtg.1	DRtg	FTr	3PAr	TS%	eFG%	FT/FGA	ORtg.2	DRtg.1	FTr.1	3PAr.1	TS%.1	eFG%.1	FT/FGA.1	ORtg.3	FTr.2	3PAr.2	TS%.2	eFG%.2	FT/FGA.2
1	DAL	2025-02-06	7.3	@	BOS	W 127-120	131.7	124.4	0.205	0.375	0.662	0.642	0.159	124.4	131.7	0.169	0.416	0.628	0.607	0.135	7.3	0.036	-0.041	0.034	0.035	0.024
2	DAL	2025-02-04	-2.1	@	PHI	L 116-118	123.4	125.5	0.365	0.388	0.588	0.535	0.294	125.5	123.4	0.221	0.384	0.625	0.61	0.151	-2.1	0.144	0.005	-0.037	-0.075	0.143
3	DAL	2025-02-02	-40.7	@	CLE	L 101-144	95.6	136.2	0.146	0.417	0.461	0.432	0.117	136.2	95.6	0.172	0.484	0.72	0.71	0.129	-40.7	-0.026	-0.066	-0.259	-0.278	-0.013
4	DAL	2025-01-31	-15.8	@	DET	L 102-117	107.3	123.1	0.241	0.379	0.53	0.489	0.195	123.1	107.3	0.151	0.33	0.518	0.486	0.132	-15.8	0.09	0.049	0.012	0.003	0.063
5	DAL	2025-01-29	1.0	@	NOP	W 137-136	133.0	132.1	0.177	0.448	0.662	0.646	0.135	132.1	133.0	0.229	0.323	0.643	0.609	0.198	1.0	-0.052	0.125	0.019	0.036	-0.063
6	DAL	2025-01-27	22.1		WAS	W 130-108	130.6	108.5	0.185	0.489	0.653	0.641	0.13	108.5	130.6	0.168	0.366	0.498	0.47	0.129	22.1	0.016	0.123	0.156	0.171	0.002
7	DAL	2025-01-25	-15.5		BOS	L 107-122	110.9	126.4	0.318	0.25	0.533	0.489	0.239	126.4	110.9	0.184	0.505	0.548	0.524	0.136	-15.5	0.134	-0.255	-0.014	-0.036	0.103
8	DAL	2025-01-23	6.0	@	OKC	W 121-115	121.0	115.0	0.486	0.419	0.673	0.622	0.392	115.0	121.0	0.25	0.42	0.589	0.563	0.182	6.0	0.236	-0.002	0.085	0.059	0.21
9	DAL	2025-01-22	-1.0		MIN	L 114-115	114.9	115.9	0.211	0.322	0.58	0.544	0.178	115.9	114.9	0.42	0.358	0.599	0.525	0.37	-1.0	-0.209	-0.036	-0.02	0.02	-0.193
10	DAL	2025-01-20	-5.2	@	CHO	L 105-110	109.1	114.3	0.295	0.364	0.528	0.466	0.261	114.3	109.1	0.184	0.398	0.519	0.495	0.133	-5.2	0.112	-0.034	0.009	-0.029	0.129
11	DAL	2025-01-17	8.5		OKC	W 106-98	112.3	103.9	0.293	0.547	0.626	0.6	0.213	103.9	112.3	0.132	0.505	0.509	0.495	0.088	8.5	0.161	0.041	0.117	0.105	0.125
12	DAL	2025-01-15	-2.9	@	NOP	L 116-119	111.9	114.8	0.278	0.389	0.574	0.544	0.2	114.8	111.9	0.247	0.402	0.553	0.51	0.206	-2.9	0.03	-0.013	0.021	0.034	-0.006
