Rk	Player    	Season	Age	Team	G	GS	AS	MP	FG	FGA	2P	2PA	3P	3PA	FT	FTA	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FG%	2P%	3P%	FT%	TS%	eFG%	Pos
1	Isaiah Wong	2024-25	24	CHO	18	0	0	226	32	89	23	60	9	29	23	32	14	16	30	26	10	0	15	19	96	.360	.383	.310	.719	.466	.410	G
2	Mark Williams	2024-25	23	CHO	23	20	0	575	140	239	140	238	0	1	78	100	75	146	221	57	15	27	23	59	358	.586	.588	.000	.780	.633	.586	C
3	Grant Williams	2024-25	26	CHO	16	7	0	479	54	123	27	49	27	74	31	37	18	64	82	37	18	13	28	46	166	.439	.551	.365	.838	.596	.549	F
4	Nick Smith Jr.	2024-25	20	CHO	31	12	0	566	95	231	50	105	45	126	10	12	6	56	62	53	11	5	30	33	245	.411	.476	.357	.833	.518	.509	G
5	KJ Simpson	2024-25	22	CHO	19	1	0	342	41	129	29	72	12	57	24	30	20	23	43	43	13	4	20	29	118	.318	.403	.211	.800	.415	.364	G
6	Tidjane Salaün	2024-25	19	CHO	36	8	0	665	60	182	27	69	33	113	24	35	38	110	148	38	21	8	31	48	177	.330	.391	.292	.686	.448	.420	F
7	Nick Richards	2024-25	27	CHO	21	9	0	440	64	114	64	113	0	1	59	87	51	107	158	28	7	26	33	48	187	.561	.566	.000	.678	.614	.561	F-C
8	Jared Rhoden	2024-25	25	CHO	4	0	0	12	2	8	2	6	0	2	0	0	2	2	4	2	1	0	1	1	4	.250	.333	.000		.250	.250	G
9	Josh Okogie	2024-25	26	CHO	7	1	0	149	23	53	14	30	9	23	15	19	9	15	24	10	19	5	9	11	70	.434	.467	.391	.789	.570	.519	G
10	Brandon Miller	2024-25	22	CHO	27	27	0	924	198	491	94	198	104	293	68	79	25	106	131	98	29	20	76	74	568	.403	.475	.355	.861	.540	.509	F-G
11	Vasilije Micić	2024-25	31	CHO	36	16	0	764	95	273	50	148	45	125	34	41	20	67	87	127	15	0	74	44	269	.348	.338	.360	.829	.462	.430	G
12	Cody Martin	2024-25	29	CHO	39	8	0	967	116	268	76	144	40	124	34	49	40	136	176	89	43	26	42	72	306	.433	.528	.323	.694	.528	.507	G-F
13	Tre Mann	2024-25	23	CHO	13	0	0	319	70	161	46	101	24	60	19	21	12	26	38	39	7	4	25	24	183	.435	.455	.400	.905	.537	.509	G
14	DaQuan Jeffries	2024-25	27	CHO	18	1	0	325	36	85	19	37	17	48	8	9	17	36	53	21	13	7	10	36	97	.424	.514	.354	.889	.545	.524	G-F
15	Josh Green	2024-25	24	CHO	45	44	0	1288	119	272	55	116	64	156	35	50	44	84	128	66	48	11	40	122	337	.438	.474	.410	.700	.573	.555	G-F
16	Taj Gibson	2024-25	39	CHO	21	11	0	230	22	50	21	48	1	2	7	12	31	41	72	11	7	10	13	32	52	.440	.438	.500	.583	.470	.450	F-C
17	Moussa Diabaté	2024-25	23	CHO	42	5	0	798	82	138	82	136	0	2	33	59	130	169	299	37	29	28	39	67	197	.594	.603	.000	.559	.601	.594	F
18	Seth Curry	2024-25	34	CHO	42	8	0	578	87	183	42	86	45	97	16	18	15	46	61	27	18	5	18	38	235	.475	.488	.464	.889	.615	.598	G
19	Miles Bridges	2024-25	26	CHO	35	35	0	1120	253	577	183	342	70	235	110	126	36	234	270	133	23	21	69	54	686	.438	.535	.298	.873	.542	.499	G-F
20	LaMelo Ball	2024-25	23	CHO	32	32	0	1068	311	747	179	356	132	391	143	174	31	136	167	236	43	10	118	110	897	.416	.503	.338	.822	.545	.505	G
